Date,temp,Year
1月1日,6.5,1990
1月2日,7.6,1990
1月3日,4.9,1990
1月4日,4.5,1990
1月5日,5.7,1990
1月6日,6.8,1990
1月7日,5.2,1990
1月8日,6.6,1990
1月9日,8,1990
1月10日,11.6,1990
1月11日,8.4,1990
1月12日,8.5,1990
1月13日,6.5,1990
1月14日,5,1990
1月15日,6.6,1990
1月16日,5.8,1990
1月17日,6.9,1990
1月18日,9.1,1990
1月19日,8.7,1990
1月20日,4.6,1990
1月21日,4.2,1990
1月22日,5.3,1990
1月23日,4.2,1990
1月24日,0.9,1990
1月25日,1.4,1990
1月26日,1.9,1990
1月27日,2.8,1990
1月28日,4.1,1990
1月29日,6.5,1990
1月30日,6.5,1990
1月31日,2.1,1990
2月1日,3,1990
2月2日,4.9,1990
2月3日,4.5,1990
2月4日,5.8,1990
2月5日,6.9,1990
2月6日,6,1990
2月7日,8.9,1990
2月8日,6.8,1990
2月9日,7.3,1990
2月10日,8.6,1990
2月11日,11.9,1990
2月12日,8.8,1990
2月13日,7.2,1990
2月14日,6.4,1990
2月15日,8.5,1990
2月16日,8.1,1990
2月17日,8.7,1990
2月18日,10.5,1990
2月19日,13.1,1990
2月20日,13.2,1990
2月21日,11.8,1990
2月22日,12.9,1990
2月23日,13,1990
2月24日,11.9,1990
2月25日,9.9,1990
2月26日,9.3,1990
2月27日,7.7,1990
2月28日,7.6,1990
3月1日,9.5,1990
3月2日,9.9,1990
3月3日,9.4,1990
3月4日,8.5,1990
3月5日,7.8,1990
3月6日,8.9,1990
3月7日,8.1,1990
3月8日,5.3,1990
3月9日,7.7,1990
3月10日,10.1,1990
3月11日,12.7,1990
3月12日,10.9,1990
3月13日,8.1,1990
3月14日,9.5,1990
3月15日,12.1,1990
3月16日,10.8,1990
3月17日,10.1,1990
3月18日,9.4,1990
3月19日,10.1,1990
3月20日,12.6,1990
3月21日,10.9,1990
3月22日,12,1990
3月23日,15.9,1990
3月24日,14.9,1990
3月25日,8.4,1990
3月26日,8.9,1990
3月27日,10.9,1990
3月28日,10.7,1990
3月29日,11.7,1990
3月30日,13.7,1990
3月31日,14,1990
4月1日,16,1990
4月2日,16.5,1990
4月3日,17.2,1990
4月4日,13.2,1990
4月5日,9,1990
4月6日,12.4,1990
4月7日,11.2,1990
4月8日,13.1,1990
4月9日,14.9,1990
4月10日,16.5,1990
4月11日,17.7,1990
4月12日,18.5,1990
4月13日,17.1,1990
4月14日,15.8,1990
4月15日,13.9,1990
4月16日,13.6,1990
4月17日,12.2,1990
4月18日,10.7,1990
4月19日,11.6,1990
4月20日,13.1,1990
4月21日,15,1990
4月22日,17.1,1990
4月23日,15,1990
4月24日,13.4,1990
4月25日,13.9,1990
4月26日,17.4,1990
4月27日,19.5,1990
4月28日,19.7,1990
4月29日,16.1,1990
4月30日,14.7,1990
5月1日,14.2,1990
5月2日,15.6,1990
5月3日,16.6,1990
5月4日,17.4,1990
5月5日,16.4,1990
5月6日,18.1,1990
5月7日,16.4,1990
5月8日,17.6,1990
5月9日,20.1,1990
5月10日,21.2,1990
5月11日,21,1990
5月12日,21.3,1990
5月13日,21,1990
5月14日,19.7,1990
5月15日,18.2,1990
5月16日,16.8,1990
5月17日,19,1990
5月18日,19.3,1990
5月19日,18.5,1990
5月20日,21.1,1990
5月21日,21.4,1990
5月22日,19.6,1990
5月23日,18.7,1990
5月24日,18.3,1990
5月25日,17.3,1990
5月26日,19.2,1990
5月27日,20.5,1990
5月28日,20.7,1990
5月29日,21.3,1990
5月30日,21.8,1990
5月31日,23,1990
6月1日,21.6,1990
6月2日,21.3,1990
6月3日,22.9,1990
6月4日,21.2,1990
6月5日,20.9,1990
6月6日,23.1,1990
6月7日,23,1990
6月8日,24.1,1990
6月9日,23.1,1990
6月10日,23.3,1990
6月11日,24.8,1990
6月12日,24.3,1990
6月13日,25.5,1990
6月14日,25.4,1990
6月15日,24.9,1990
6月16日,23,1990
6月17日,24.2,1990
6月18日,26.1,1990
6月19日,25.4,1990
6月20日,26,1990
6月21日,27.6,1990
6月22日,28.5,1990
6月23日,29.5,1990
6月24日,28.6,1990
6月25日,27.9,1990
6月26日,27.4,1990
6月27日,25.5,1990
6月28日,22.7,1990
6月29日,22.8,1990
6月30日,20.1,1990
7月1日,21.6,1990
7月2日,21.3,1990
7月3日,21,1990
7月4日,24.7,1990
7月5日,24.4,1990
7月6日,25.7,1990
7月7日,26.7,1990
7月8日,27.4,1990
7月9日,27.9,1990
7月10日,28.1,1990
7月11日,29.2,1990
7月12日,28.1,1990
7月13日,27.1,1990
7月14日,28,1990
7月15日,28.2,1990
7月16日,29.4,1990
7月17日,29.9,1990
7月18日,29.8,1990
7月19日,30.5,1990
7月20日,31.3,1990
7月21日,30.1,1990
7月22日,30.4,1990
7月23日,29.8,1990
7月24日,28.9,1990
7月25日,29.8,1990
7月26日,30.2,1990
7月27日,30.6,1990
7月28日,30.3,1990
7月29日,30.1,1990
7月30日,29.4,1990
7月31日,28.8,1990
8月1日,28.8,1990
8月2日,29.4,1990
8月3日,30.4,1990
8月4日,31,1990
8月5日,30.9,1990
8月6日,30.8,1990
8月7日,31,1990
8月8日,31.5,1990
8月9日,28.8,1990
8月10日,30.6,1990
8月11日,30.9,1990
8月12日,30.6,1990
8月13日,28.1,1990
8月14日,29.8,1990
8月15日,30,1990
8月16日,29.4,1990
8月17日,27.8,1990
8月18日,27.8,1990
8月19日,29.1,1990
8月20日,29,1990
8月21日,30,1990
8月22日,31.6,1990
8月23日,30.5,1990
8月24日,30,1990
8月25日,29.3,1990
8月26日,28.4,1990
8月27日,26.3,1990
8月28日,26.6,1990
8月29日,28.6,1990
8月30日,29.2,1990
8月31日,29.8,1990
9月1日,29.5,1990
9月2日,28.8,1990
9月3日,27.5,1990
9月4日,26.8,1990
9月5日,27.1,1990
9月6日,28.3,1990
9月7日,27.5,1990
9月8日,26.7,1990
9月9日,26.4,1990
9月10日,28.7,1990
9月11日,29.2,1990
9月12日,29.7,1990
9月13日,26.9,1990
9月14日,24.9,1990
9月15日,24.5,1990
9月16日,21.7,1990
9月17日,23.2,1990
9月18日,25.6,1990
9月19日,24.8,1990
9月20日,22.3,1990
9月21日,22.6,1990
9月22日,24.9,1990
9月23日,25.7,1990
9月24日,24.9,1990
9月25日,23.3,1990
9月26日,22.4,1990
9月27日,23.5,1990
9月28日,22.6,1990
9月29日,21.9,1990
9月30日,21.5,1990
10月1日,22.7,1990
10月2日,22.4,1990
10月3日,23,1990
10月4日,23.3,1990
10月5日,24.6,1990
10月6日,22.2,1990
10月7日,19.1,1990
10月8日,19.9,1990
10月9日,18.7,1990
10月10日,16.3,1990
10月11日,17.8,1990
10月12日,18.9,1990
10月13日,19.1,1990
10月14日,20.2,1990
10月15日,20.5,1990
10月16日,20,1990
10月17日,20.3,1990
10月18日,19.2,1990
10月19日,17.6,1990
10月20日,17.9,1990
10月21日,18.1,1990
10月22日,17.6,1990
10月23日,17.4,1990
10月24日,17.8,1990
10月25日,16.6,1990
10月26日,16.3,1990
10月27日,16.4,1990
10月28日,15,1990
10月29日,15,1990
10月30日,15.9,1990
10月31日,17.1,1990
11月1日,16.9,1990
11月2日,17,1990
11月3日,17.4,1990
11月4日,15.9,1990
11月5日,17.8,1990
11月6日,17.5,1990
11月7日,17.7,1990
11月8日,16.7,1990
11月9日,16.6,1990
11月10日,12,1990
11月11日,10.8,1990
11月12日,12.7,1990
11月13日,14.5,1990
11月14日,14.8,1990
11月15日,14.7,1990
11月16日,14.7,1990
11月17日,15.7,1990
11月18日,16.3,1990
11月19日,17.1,1990
11月20日,17.4,1990
11月21日,11.3,1990
11月22日,10.1,1990
11月23日,11.1,1990
11月24日,10.5,1990
11月25日,13.4,1990
11月26日,14.1,1990
11月27日,13,1990
11月28日,16.2,1990
11月29日,15.5,1990
11月30日,15.8,1990
12月1日,16.1,1990
12月2日,11.8,1990
12月3日,9.4,1990
12月4日,9.3,1990
12月5日,9.6,1990
12月6日,10,1990
12月7日,10.7,1990
12月8日,11.2,1990
12月9日,12.2,1990
12月10日,13.8,1990
12月11日,11.3,1990
12月12日,9.2,1990
12月13日,8.9,1990
12月14日,10.7,1990
12月15日,10.5,1990
12月16日,8.4,1990
12月17日,7.4,1990
12月18日,8.1,1990
12月19日,8.2,1990
12月20日,8.5,1990
12月21日,10.2,1990
12月22日,11.6,1990
12月23日,8,1990
12月24日,7,1990
12月25日,8.1,1990
12月26日,7.4,1990
12月27日,5.5,1990
12月28日,6.4,1990
12月29日,7.6,1990
12月30日,6.9,1990
12月31日,7.1,1990
1月1日,5.6,1995
1月2日,5.6,1995
1月3日,4.5,1995
1月4日,8.7,1995
1月5日,7.2,1995
1月6日,5.2,1995
1月7日,6.8,1995
1月8日,8.4,1995
1月9日,10.7,1995
1月10日,7.3,1995
1月11日,5.9,1995
1月12日,6,1995
1月13日,5.5,1995
1月14日,3.2,1995
1月15日,3.9,1995
1月16日,4.9,1995
1月17日,4.3,1995
1月18日,5.3,1995
1月19日,5.4,1995
1月20日,5.9,1995
1月21日,8.2,1995
1月22日,9.2,1995
1月23日,10.8,1995
1月24日,7.2,1995
1月25日,5.7,1995
1月26日,6.3,1995
1月27日,5.7,1995
1月28日,5.2,1995
1月29日,4.6,1995
1月30日,3.2,1995
1月31日,3,1995
2月1日,3.4,1995
2月2日,3.9,1995
2月3日,4.9,1995
2月4日,4.6,1995
2月5日,4.6,1995
2月6日,5.3,1995
2月7日,6.3,1995
2月8日,7.6,1995
2月9日,7.9,1995
2月10日,4.8,1995
2月11日,6,1995
2月12日,7.2,1995
2月13日,9.7,1995
2月14日,8.4,1995
2月15日,7.2,1995
2月16日,5.4,1995
2月17日,4.5,1995
2月18日,5.2,1995
2月19日,7.2,1995
2月20日,5.9,1995
2月21日,4.7,1995
2月22日,5.3,1995
2月23日,5.7,1995
2月24日,7.1,1995
2月25日,7.1,1995
2月26日,8.4,1995
2月27日,7.1,1995
2月28日,6.8,1995
3月1日,7.6,1995
3月2日,6.4,1995
3月3日,5.9,1995
3月4日,5.6,1995
3月5日,5.2,1995
3月6日,8.3,1995
3月7日,8.8,1995
3月8日,8.6,1995
3月9日,9.5,1995
3月10日,10.1,1995
3月11日,9.6,1995
3月12日,9,1995
3月13日,8.5,1995
3月14日,8.1,1995
3月15日,10.1,1995
3月16日,12.4,1995
3月17日,13.5,1995
3月18日,8.5,1995
3月19日,7.6,1995
3月20日,9.1,1995
3月21日,12.4,1995
3月22日,13.8,1995
3月23日,14.3,1995
3月24日,15.9,1995
3月25日,10.2,1995
3月26日,8.1,1995
3月27日,10.5,1995
3月28日,9.3,1995
3月29日,10.4,1995
3月30日,12.3,1995
3月31日,14.5,1995
4月1日,11.3,1995
4月2日,9,1995
4月3日,7.7,1995
4月4日,10.4,1995
4月5日,13.6,1995
4月6日,15.1,1995
4月7日,15,1995
4月8日,15.1,1995
4月9日,14.1,1995
4月10日,13.1,1995
4月11日,11.8,1995
4月12日,12.4,1995
4月13日,13,1995
4月14日,12.6,1995
4月15日,15.1,1995
4月16日,15.3,1995
4月17日,17.5,1995
4月18日,17.3,1995
4月19日,14.2,1995
4月20日,12.8,1995
4月21日,15.2,1995
4月22日,17.2,1995
4月23日,20.5,1995
4月24日,17.2,1995
4月25日,14.6,1995
4月26日,16,1995
4月27日,17.1,1995
4月28日,17.4,1995
4月29日,18.3,1995
4月30日,18.6,1995
5月1日,19.3,1995
5月2日,20.1,1995
5月3日,18.3,1995
5月4日,16.6,1995
5月5日,15.4,1995
5月6日,17.7,1995
5月7日,19.2,1995
5月8日,20.8,1995
5月9日,21.7,1995
5月10日,22.2,1995
5月11日,18.6,1995
5月12日,14,1995
5月13日,17,1995
5月14日,15.5,1995
5月15日,16.5,1995
5月16日,16.7,1995
5月17日,16.9,1995
5月18日,19.6,1995
5月19日,20.5,1995
5月20日,21.1,1995
5月21日,18,1995
5月22日,17.6,1995
5月23日,18.2,1995
5月24日,20.6,1995
5月25日,21.3,1995
5月26日,20.2,1995
5月27日,21.3,1995
5月28日,20.8,1995
5月29日,17.7,1995
5月30日,20.5,1995
5月31日,21.8,1995
6月1日,22.1,1995
6月2日,21.9,1995
6月3日,19.4,1995
6月4日,23.2,1995
6月5日,20.5,1995
6月6日,20.4,1995
6月7日,21.1,1995
6月8日,19.2,1995
6月9日,21.6,1995
6月10日,21.7,1995
6月11日,21.9,1995
6月12日,22.3,1995
6月13日,18.2,1995
6月14日,20,1995
6月15日,20,1995
6月16日,20.5,1995
6月17日,21.7,1995
6月18日,21.1,1995
6月19日,24,1995
6月20日,22.6,1995
6月21日,22.4,1995
6月22日,22.9,1995
6月23日,23.4,1995
6月24日,24.9,1995
6月25日,24.1,1995
6月26日,23.5,1995
6月27日,24.1,1995
6月28日,24,1995
6月29日,25,1995
6月30日,25.4,1995
7月1日,24.1,1995
7月2日,26.9,1995
7月3日,24.9,1995
7月4日,23.5,1995
7月5日,21.5,1995
7月6日,22.6,1995
7月7日,24.9,1995
7月8日,27.3,1995
7月9日,27.9,1995
7月10日,28.9,1995
7月11日,28.1,1995
7月12日,28.2,1995
7月13日,29.5,1995
7月14日,27.8,1995
7月15日,27.2,1995
7月16日,28.5,1995
7月17日,27.2,1995
7月18日,24.8,1995
7月19日,26.1,1995
7月20日,27.6,1995
7月21日,27.2,1995
7月22日,24.8,1995
7月23日,28.9,1995
7月24日,29.8,1995
7月25日,30.4,1995
7月26日,31.6,1995
7月27日,31,1995
7月28日,31,1995
7月29日,30.1,1995
7月30日,29.9,1995
7月31日,30.7,1995
8月1日,30.4,1995
8月2日,29.9,1995
8月3日,31.3,1995
8月4日,32,1995
8月5日,31.2,1995
8月6日,30.5,1995
8月7日,30.7,1995
8月8日,31,1995
8月9日,30.9,1995
8月10日,29.8,1995
8月11日,28.4,1995
8月12日,29.1,1995
8月13日,29.5,1995
8月14日,29.8,1995
8月15日,30.3,1995
8月16日,30.2,1995
8月17日,31.1,1995
8月18日,31.2,1995
8月19日,31.7,1995
8月20日,31.2,1995
8月21日,30.7,1995
8月22日,31.1,1995
8月23日,31.1,1995
8月24日,31.1,1995
8月25日,31.2,1995
8月26日,31.3,1995
8月27日,31.2,1995
8月28日,28.8,1995
8月29日,28.5,1995
8月30日,28.7,1995
8月31日,26.2,1995
9月1日,26.6,1995
9月2日,26.1,1995
9月3日,27.1,1995
9月4日,28.2,1995
9月5日,25.4,1995
9月6日,24.9,1995
9月7日,25.4,1995
9月8日,23.4,1995
9月9日,24.5,1995
9月10日,27.2,1995
9月11日,25.6,1995
9月12日,23.2,1995
9月13日,24.7,1995
9月14日,23.1,1995
9月15日,23.5,1995
9月16日,21.8,1995
9月17日,21,1995
9月18日,20.6,1995
9月19日,20.8,1995
9月20日,21.5,1995
9月21日,22.6,1995
9月22日,22.7,1995
9月23日,23.2,1995
9月24日,26.7,1995
9月25日,26.2,1995
9月26日,25.3,1995
9月27日,24.4,1995
9月28日,22.3,1995
9月29日,23.6,1995
9月30日,23.1,1995
10月1日,21.8,1995
10月2日,24.2,1995
10月3日,23.9,1995
10月4日,22.9,1995
10月5日,20.1,1995
10月6日,18.1,1995
10月7日,17.2,1995
10月8日,18,1995
10月9日,18.9,1995
10月10日,19.7,1995
10月11日,21.1,1995
10月12日,20.6,1995
10月13日,20.5,1995
10月14日,21.1,1995
10月15日,21.9,1995
10月16日,23.8,1995
10月17日,21.3,1995
10月18日,20.4,1995
10月19日,19.3,1995
10月20日,18.3,1995
10月21日,19.3,1995
10月22日,20,1995
10月23日,20.3,1995
10月24日,19.3,1995
10月25日,18.1,1995
10月26日,16.9,1995
10月27日,16.6,1995
10月28日,16.3,1995
10月29日,18.8,1995
10月30日,19.8,1995
10月31日,18.6,1995
11月1日,14.8,1995
11月2日,12.6,1995
11月3日,14.6,1995
11月4日,16.4,1995
11月5日,15.1,1995
11月6日,15.1,1995
11月7日,15.4,1995
11月8日,11.2,1995
11月9日,11.6,1995
11月10日,13.4,1995
11月11日,12.3,1995
11月12日,12.4,1995
11月13日,13.7,1995
11月14日,13.7,1995
11月15日,10.6,1995
11月16日,10.7,1995
11月17日,12.6,1995
11月18日,13.3,1995
11月19日,13.7,1995
11月20日,13.1,1995
11月21日,10.3,1995
11月22日,9.7,1995
11月23日,9.5,1995
11月24日,9.9,1995
11月25日,9.8,1995
11月26日,9.8,1995
11月27日,9.8,1995
11月28日,9.3,1995
11月29日,9.5,1995
11月30日,9.6,1995
12月1日,7.7,1995
12月2日,8.7,1995
12月3日,10.1,1995
12月4日,10,1995
12月5日,8.1,1995
12月6日,7,1995
12月7日,6.8,1995
12月8日,6,1995
12月9日,6.2,1995
12月10日,6.5,1995
12月11日,8,1995
12月12日,9.4,1995
12月13日,8.6,1995
12月14日,9.9,1995
12月15日,11.6,1995
12月16日,7.2,1995
12月17日,7.1,1995
12月18日,7.5,1995
12月19日,7.7,1995
12月20日,8.1,1995
12月21日,7.9,1995
12月22日,7.5,1995
12月23日,8.6,1995
12月24日,7.1,1995
12月25日,1.9,1995
12月26日,2.3,1995
12月27日,3.9,1995
12月28日,4.5,1995
12月29日,6.1,1995
12月30日,5.2,1995
12月31日,5.5,1995
